Episode,Baseline_D3QN_Reward,VLA_Guarded_Reward,Baseline_Success_Rate,VLA_Guarded_Success_Rate,Baseline_Outcome,VLA_Guarded_Outcome
1,-7.8951,-8.7906,0.0,0.0,timeout,timeout
2,-17.0172,-14.9483,0.0,0.0,collision,collision
3,-17.2438,-16.7137,0.0,0.0,collision,collision
4,1.5132,-14.8148,0.0,0.0,timeout,collision
5,-8.7337,-1.502,0.0,0.0,timeout,timeout
6,-2.2368,-11.1387,0.0,0.0,timeout,timeout
7,-19.604,-21.2056,0.0,0.0,collision,collision
8,-12.4989,2.5393,0.0,0.0,timeout,timeout
9,14.0628,-9.2225,0.0,0.0,timeout,collision
10,3.6334,-3.7829,0.0,0.0,timeout,timeout
11,-19.9198,-4.7253,0.0,0.0,collision,timeout
12,7.5725,-4.6382,0.0,0.0,timeout,timeout
13,-11.8769,10.4693,0.0,0.0,collision,timeout
14,-7.5298,-5.953,0.0,0.0,timeout,timeout
15,5.3885,-7.6476,0.0,0.0,timeout,timeout
16,0.5778,-15.0703,0.0,0.0,timeout,timeout
17,-2.1845,-17.8139,0.0,0.0,collision,collision
18,-4.1563,0.2432,0.0,0.0,timeout,timeout
19,9.5031,-0.9327,0.0,0.0,timeout,collision
20,-8.3628,-7.2453,0.0,0.0,timeout,timeout
21,-2.4043,0.0531,0.0,0.0,timeout,timeout
22,-2.422,8.3462,0.0,0.0,collision,timeout
23,-6.7994,-3.1656,0.0,0.0,collision,timeout
24,7.6979,8.7351,0.0,0.0,timeout,timeout
25,-0.6993,2.836,0.0,0.0,timeout,timeout
26,-6.6541,-12.9184,0.0,0.0,timeout,collision
27,4.3997,-3.3886,0.0,0.0,timeout,timeout
28,11.345,20.9778,0.0,0.0,timeout,timeout
29,5.9516,10.2105,0.0,0.0,timeout,timeout
30,7.7798,-1.9892,0.0,0.0,timeout,timeout
31,-4.0946,-7.4128,0.0,0.0,timeout,collision
32,10.9588,15.3114,0.0,0.0,timeout,timeout
33,12.82,10.7996,0.0,0.0,timeout,timeout
34,5.0997,8.0951,0.0,0.0,timeout,timeout
35,22.5538,8.0377,0.0286,0.0,success,timeout
36,-11.1102,1.3563,0.0278,0.0,timeout,timeout
37,16.7502,12.6604,0.027,0.0,timeout,timeout
38,21.8532,9.5713,0.0526,0.0,success,timeout
39,6.9185,10.0015,0.0513,0.0,timeout,timeout
40,-7.9638,-4.9977,0.05,0.0,collision,collision
41,5.4826,0.4677,0.0488,0.0,timeout,collision
42,-6.17,24.1829,0.0476,0.0238,collision,success
43,11.3104,10.0534,0.0465,0.0233,timeout,timeout
44,-2.3201,-1.3863,0.0455,0.0227,collision,collision
45,8.4866,7.4653,0.0444,0.0222,timeout,timeout
46,10.5328,14.3782,0.0435,0.0217,timeout,timeout
47,14.5965,-7.3867,0.0426,0.0213,timeout,collision
48,16.6952,9.972,0.0417,0.0208,timeout,timeout
49,22.9465,23.0502,0.0612,0.0408,success,success
50,-3.1256,3.5129,0.06,0.04,collision,timeout
51,10.8205,14.3975,0.06,0.04,timeout,timeout
52,2.6715,17.157,0.06,0.04,timeout,timeout
53,10.1773,23.2724,0.06,0.06,timeout,success
54,11.8738,15.0643,0.06,0.06,timeout,timeout
55,-3.2745,-2.4382,0.06,0.06,timeout,timeout
56,21.7729,23.3167,0.06,0.06,timeout,timeout
57,4.7532,11.6311,0.06,0.06,timeout,timeout
58,14.984,4.449,0.06,0.06,timeout,timeout
59,3.1568,3.1578,0.06,0.06,timeout,timeout
60,21.7066,20.2367,0.06,0.06,timeout,timeout
61,6.8439,8.2443,0.06,0.06,timeout,timeout
62,10.4135,11.3258,0.06,0.06,timeout,timeout
63,15.3169,12.6387,0.06,0.06,timeout,timeout
64,10.2956,11.1254,0.06,0.06,timeout,timeout
65,11.4418,-2.9937,0.06,0.06,timeout,timeout
66,7.9292,11.1721,0.06,0.06,timeout,timeout
67,7.512,5.4756,0.06,0.06,timeout,timeout
68,11.2749,11.6487,0.06,0.06,timeout,timeout
69,10.6763,15.3574,0.06,0.06,timeout,timeout
70,8.5211,8.4001,0.06,0.06,timeout,timeout
71,12.7863,25.8305,0.06,0.08,timeout,success
72,-4.7756,13.2178,0.06,0.08,collision,timeout
73,-12.7355,12.6517,0.06,0.08,collision,timeout
74,17.6428,12.7319,0.06,0.08,timeout,timeout
75,8.9596,7.0084,0.06,0.08,timeout,timeout
76,27.4728,14.5752,0.08,0.08,success,timeout
77,-8.7543,-3.035,0.08,0.08,collision,timeout
78,20.251,20.0764,0.08,0.08,timeout,timeout
79,9.3809,5.9275,0.08,0.08,timeout,timeout
80,14.0899,15.6106,0.08,0.08,timeout,timeout
81,16.7615,17.0138,0.08,0.08,timeout,timeout
82,15.3578,14.8163,0.08,0.08,timeout,timeout
83,-1.7155,14.8422,0.08,0.08,timeout,timeout
84,10.7293,10.9161,0.08,0.08,timeout,timeout
85,8.3168,26.0873,0.06,0.1,timeout,success
86,10.2926,14.9085,0.06,0.1,timeout,timeout
87,6.2582,23.1734,0.06,0.12,timeout,success
88,15.4035,15.8192,0.04,0.12,timeout,timeout
89,-10.1629,10.3795,0.04,0.12,collision,timeout
90,27.3387,26.9355,0.06,0.14,success,success
91,-4.0454,13.8803,0.06,0.14,collision,timeout
92,-2.2491,4.1377,0.06,0.12,collision,timeout
93,15.4682,13.3526,0.06,0.12,timeout,timeout
94,25.1185,24.8042,0.08,0.14,success,success
95,11.3676,23.1971,0.08,0.16,timeout,success
96,10.9285,12.9655,0.08,0.16,timeout,timeout
97,0.6589,17.0465,0.08,0.16,timeout,timeout
98,24.6251,24.9259,0.1,0.18,success,success
99,14.5517,13.7555,0.08,0.16,timeout,timeout
100,15.3674,19.9692,0.08,0.16,timeout,timeout
101,18.7173,20.4907,0.08,0.16,timeout,timeout
102,-5.4533,15.7609,0.08,0.16,collision,timeout
103,12.5215,13.0452,0.08,0.14,timeout,timeout
