Eval_Episode,Steps,Total_Reward,Final_Dist_To_Goal_m,Outcome,Avg_Speed_m_s
1,250,11.7369,1.677,TIMEOUT,0.132
2,250,-7.9663,5.2956,TIMEOUT,0.0364
3,250,22.5035,0.7745,TIMEOUT,0.1892
4,250,-0.3364,6.8299,TIMEOUT,0.094
5,250,4.5311,3.0648,TIMEOUT,0.0964
6,75,-12.0567,8.313,COLLISION,0.1853
7,250,-8.7079,8.1305,TIMEOUT,0.078
8,196,22.3784,0.2958,SUCCESS,0.1541
9,250,12.7846,0.7369,TIMEOUT,0.1524
10,250,11.713,0.9322,TIMEOUT,0.1424
11,178,22.9444,0.2979,SUCCESS,0.1742
12,250,-1.9913,3.2024,TIMEOUT,0.0748
13,250,14.7105,1.2932,TIMEOUT,0.1456
14,140,-17.0271,7.5784,COLLISION,0.13
15,145,-17.0204,7.6786,COLLISION,0.1331
16,250,10.3565,1.9276,TIMEOUT,0.1108
17,192,28.6225,0.2965,SUCCESS,0.199
18,203,25.8468,0.2814,SUCCESS,0.1685
19,250,3.516,4.3727,TIMEOUT,0.1172
20,250,0.408,4.6862,TIMEOUT,0.0436
