Epoch,Train_Loss,Train_Accuracy,Valid_Loss,Valid_Accuracy,LR
1,1.423,0.428,2.2698,0.2295,0.001
2,0.529,0.8066,0.4299,0.8115,0.001
3,0.2384,0.9095,0.2901,0.9098,0.001
4,0.1271,0.9527,0.2256,0.9016,0.001
5,0.0998,0.9547,0.0767,0.9918,0.001
6,0.1387,0.9506,0.17,0.9344,0.001
7,0.321,0.893,0.625,0.8689,0.001
8,0.1962,0.9074,0.2258,0.877,0.0005
9,0.0901,0.9609,0.0793,0.9754,0.0005
10,0.0345,0.9877,0.0936,0.9836,0.0005
11,0.0291,0.9877,0.0583,0.9918,0.0005
12,0.026,0.9918,0.0579,0.9836,0.0005
13,0.068,0.9794,0.072,0.9918,0.0005
14,0.1925,0.9383,0.221,0.9016,0.0005
15,0.1192,0.9506,0.1198,0.9754,0.00025
