Episode,Steps,Reward,Success,Collision,Timeout,Moving_Success_Rate_50Ep,Epsilon,Avg_Loss
1,202,-20.7367,0,1,0,0.0,0.9328,0.002179
2,141,-13.0046,0,1,0,0.0,0.8693,0.335283
3,122,-8.9398,0,1,0,0.0,0.8179,0.343904
4,250,8.577,0,0,1,0.0,0.7217,0.320664
5,140,-11.5331,0,1,0,0.0,0.6729,0.221986
6,250,-11.0295,0,0,1,0.0,0.5938,0.222108
7,139,-17.5224,0,1,0,0.0,0.554,0.244747
8,115,-16.4386,0,1,0,0.0,0.523,0.267258
9,153,-18.7822,0,1,0,0.0,0.4845,0.200162
10,250,-13.2337,0,0,1,0.0,0.4275,0.265233
11,250,9.6365,0,0,1,0.0,0.3773,0.230838
12,250,-12.6609,0,0,1,0.0,0.3329,0.246241
13,250,-2.7737,0,0,1,0.0,0.2938,0.175077
14,250,-7.099,0,0,1,0.0,0.2593,0.158876
15,250,4.868,0,0,1,0.0,0.2288,0.149204
16,250,10.7772,0,0,1,0.0,0.2019,0.13675
17,250,11.9413,0,0,1,0.0,0.1782,0.110669
18,250,11.8562,0,0,1,0.0,0.1572,0.102873
19,250,1.4271,0,0,1,0.0,0.1388,0.082662
20,250,18.0302,0,0,1,0.0,0.1225,0.092589
21,250,-9.9807,0,0,1,0.0,0.1081,0.092637
22,250,-9.5691,0,0,1,0.0,0.0954,0.083799
23,250,3.1202,0,0,1,0.0,0.0842,0.068538
24,95,-17.155,0,1,0,0.0,0.0802,0.052356
25,172,-4.6608,0,1,0,0.0,0.0736,0.088943
26,250,-5.0464,0,0,1,0.0,0.065,0.07517
27,250,-5.6266,0,0,1,0.0,0.0573,0.090472
28,250,-7.5122,0,0,1,0.0,0.0506,0.059668
29,224,-16.3887,0,1,0,0.0,0.05,0.081778
30,250,8.6251,0,0,1,0.0,0.05,0.085369
31,250,17.1307,0,0,1,0.0,0.05,0.073451
32,250,-7.5274,0,0,1,0.0,0.05,0.082621
33,151,-12.0262,0,1,0,0.0,0.05,0.096881
34,250,2.8242,0,0,1,0.0,0.05,0.090817
35,250,13.7201,0,0,1,0.0,0.05,0.09415
36,250,-6.2292,0,0,1,0.0,0.05,0.077801
37,250,-8.4188,0,0,1,0.0,0.05,0.067837
38,250,10.7508,0,0,1,0.0,0.05,0.058352
39,118,-2.5764,0,1,0,0.0,0.05,0.087663
40,250,0.6048,0,0,1,0.0,0.05,0.081107
41,250,15.1714,0,0,1,0.0,0.05,0.069392
42,250,-8.4768,0,0,1,0.0,0.05,0.088136
43,250,-7.8852,0,0,1,0.0,0.05,0.093592
44,250,8.7236,0,0,1,0.0,0.05,0.060676
45,250,-6.9771,0,0,1,0.0,0.05,0.064528
46,250,3.7897,0,0,1,0.0,0.05,0.097418
47,250,-12.2548,0,0,1,0.0,0.05,0.061837
48,250,-12.0845,0,0,1,0.0,0.05,0.081546
49,250,7.2611,0,0,1,0.0,0.05,0.05583
50,250,-3.4863,0,0,1,0.0,0.05,0.06883
51,106,-8.1911,0,1,0,0.0,0.05,0.033612
52,192,-8.0556,0,1,0,0.0,0.05,0.103116
53,250,17.1304,0,0,1,0.0,0.05,0.073008
54,250,13.4181,0,0,1,0.0,0.05,0.09865
55,172,-9.5868,0,1,0,0.0,0.05,0.108541
56,108,-13.7539,0,1,0,0.0,0.05,0.060533
57,250,15.5264,0,0,1,0.0,0.05,0.128283
58,196,-12.5467,0,1,0,0.0,0.05,0.115715
59,250,21.1231,0,0,1,0.0,0.05,0.115272
60,175,-12.4121,0,1,0,0.0,0.05,0.217837
61,234,-23.3112,0,1,0,0.0,0.05,0.180038
62,250,5.2343,0,0,1,0.0,0.05,0.129668
63,81,-2.7417,0,1,0,0.0,0.05,0.222534
64,250,-0.2017,0,0,1,0.0,0.05,0.191298
65,250,3.9386,0,0,1,0.0,0.05,0.20717
66,250,-0.1728,0,0,1,0.0,0.05,0.138298
67,250,-2.26,0,0,1,0.0,0.05,0.128022
68,250,-4.0883,0,0,1,0.0,0.05,0.18356
69,131,-18.4751,0,1,0,0.0,0.05,0.105912
70,250,-8.4619,0,0,1,0.0,0.05,0.130256
71,250,21.8405,0,0,1,0.0,0.05,0.098797
72,250,-10.45,0,0,1,0.0,0.05,0.154986
73,250,12.5152,0,0,1,0.0,0.05,0.205684
74,204,-19.8844,0,1,0,0.0,0.05,0.197852
75,250,-8.2936,0,0,1,0.0,0.05,0.162228
76,99,-15.8654,0,1,0,0.0,0.05,0.15799
77,250,8.5506,0,0,1,0.0,0.05,0.214983
78,250,-7.8057,0,0,1,0.0,0.05,0.215536
79,250,6.2694,0,0,1,0.0,0.05,0.189102
80,250,-4.0132,0,0,1,0.0,0.05,0.211686
81,175,-11.9174,0,1,0,0.0,0.05,0.194122
82,250,-3.4739,0,0,1,0.0,0.05,0.24558
83,250,2.9351,0,0,1,0.0,0.05,0.188638
84,250,-8.6937,0,0,1,0.0,0.05,0.129179
85,154,-8.0931,0,1,0,0.0,0.05,0.178366
86,250,11.6505,0,0,1,0.0,0.05,0.232646
87,250,0.5856,0,0,1,0.0,0.05,0.153194
88,192,-7.8453,0,1,0,0.0,0.05,0.205788
89,195,-5.1186,0,1,0,0.0,0.05,0.220187
90,153,-10.707,0,1,0,0.0,0.05,0.206432
91,160,-3.3146,0,1,0,0.0,0.05,0.110704
92,179,-13.9912,0,1,0,0.0,0.05,0.189384
93,210,-10.7106,0,1,0,0.0,0.05,0.174154
94,170,-10.6903,0,1,0,0.0,0.05,0.198198
95,250,-2.4701,0,0,1,0.0,0.05,0.227041
96,250,-1.43,0,0,1,0.0,0.05,0.194689
97,172,-10.4203,0,1,0,0.0,0.05,0.25687
98,134,-17.242,0,1,0,0.0,0.05,0.200948
99,250,0.2826,0,0,1,0.0,0.05,0.208902
100,250,6.057,0,0,1,0.0,0.05,0.274169
101,250,-2.9007,0,0,1,0.0,0.05,0.218915
102,250,-10.8839,0,0,1,0.0,0.05,0.305497
103,244,-9.0395,0,1,0,0.0,0.05,0.224805
104,250,12.4055,0,0,1,0.0,0.05,0.221254
105,250,-0.97,0,0,1,0.0,0.05,0.206625
106,250,4.6313,0,0,1,0.0,0.05,0.158612
107,250,-2.375,0,0,1,0.0,0.05,0.131414
108,250,18.1026,0,0,1,0.0,0.05,0.247412
